tipo, qtd, tempo_carregar, tempo_consultar, tempo_esvaziar, rot_carregar, rot_esvaziar, altura
a,1000,0.000673,0.000012,0.000567,702,695,11
a,10000,0.011779,0.000078,0.011876,7010,7002,15
a,100000,0.098600,0.000178,0.099762,70359,68921,18
a,1000000,1.963312,0.000210,1.956334,704157,703298,22
c,1000,0.000318,0.000023,0.000367,990,956,11
c,10000,0.004292,0.000101,0.004654,9986,9876,15
c,100000,0.059327,0.000185,0.069461,99983,99526,18
c,1000000,0.551577,0.000422,0.734411,999980,998645,22
d,1000,0.000318,0.000012,0.000378,990,956,11
d,10000,0.004292,0.00067,0.004492,9986,9876,15
d,100000,0.059327,0.000211,0.062413,99983,99526,18
d,1000000,0.551577,0.000425,0.634119,999980,998645,22

