tipo, qtd, caso, tempo_carregar, tempo_consultar, tempo_esvaziar, rot_carregar, rot_esvaziar, altura
a,1000,0,0.000673,0.000012,0.000567,702,0,11
a,1000,1,0.000636,0.000001,0.000622,688,0,11
a,1000,2,0.000590,0.000013,0.000610,584,0,12
a,1000,3,0.000641,0.000012,0.000643,686,0,11
a,1000,4,0.000605,0.000011,0.000595,620,0,11
a,10000,0,0.011779,0.000078,0.011876,7010,0,15
a,10000,1,0.012149,0.000021,0.011979,7124,0,15
a,10000,2,0.011440,0.000088,0.012138,7042,0,16
a,10000,3,0.010589,0.000098,0.010178,6125,0,16
a,10000,4,0.009421,0.000100,0.009671,6792,0,15
a,100000,0,0.098600,0.000178,0.099762,70359,0,18
a,100000,1,0.080524,0.000121,0.085689,68545,0,18
a,100000,2,0.089438,0.000081,0.099975,69445,0,19
a,100000,3,0.075023,0.000033,0.078922,69335,0,19
a,100000,4,0.072838,0.000011,0.071233,68318,0,18
a,1000000,0,1.963312,0.000210,1.956334,704157,0,22
a,1000000,1,1.933149,0.000178,1.932679,701377,0,23
a,1000000,2,1.763524,0.000289,1.833678,702123,0,22
a,1000000,3,1.711932,0.000301,1.711653,705332,0,23
a,1000000,4,1.686093,0.000267,1.789151,703491,0,23
c,1000,0,0.000318,0.000023,0.000367,990,0,11
c,1000,1,0.000372,0.000017,0.000325,990,0,11
c,1000,2,0.000531,0.000033,0.000467,990,0,11
c,1000,3,0.000565,0.000018,0.000541,990,0,11
c,1000,4,0.000386,0.000015,0.000367,990,0,11
c,10000,0,0.004292,0.000101,0.004654,9986,0,15
c,10000,1,0.003882,0.000098,0.003768,9986,0,15
c,10000,2,0.004167,0.000001,0.004229,9986,0,15
c,10000,3,0.004382,0.000892,0.004223,9986,0,15
c,10000,4,0.003276,0.000127,0.003987,9986,0,15
c,100000,0,0.059327,0.000185,0.069461,99983,0,18
c,100000,1,0.060999,0.000156,0.069931,99983,0,18
c,100000,2,0.057249,0.000103,0.059829,99983,0,18
c,100000,3,0.051595,0.000029,0.057321,99983,0,18
c,100000,4,0.055056,0.000087,0.060672,99983,0,18
c,1000000,0,0.551577,0.000422,0.734411,999980,0,22
c,1000000,1,0.568442,0.000145,0.653111,999980,0,22
c,1000000,2,0.570018,0.000178,0.778911,999980,0,22
c,1000000,3,0.554683,0.000290,0.649812,999980,0,22
c,1000000,4,0.569729,0.000117,0.600982,999980,0,22
d,1000,0,0.000318,0.000012,0.000378,990,0,11
d,1000,1,0.000372,0.000028,0.000421,990,0,11
d,1000,2,0.000531,0.000009,0.00781,990,0,11
d,1000,3,0.000565,0.000002,0.000672,990,0,11
d,1000,4,0.000386,0.000019,0.000356,990,0,11
d,10000,0,0.004292,0.00067,0.004492,9986,0,15
d,10000,1,0.003882,0.00099,0.004345,9986,0,15
d,10000,2,0.004167,0.00089,0.004371,9986,0,15
d,10000,3,0.004382,0.00101,0.004399,9986,0,15
d,10000,4,0.003276,0.00078,0.003451,9986,0,15
d,100000,0,0.059327,0.000211,0.062413,99983,0,18
d,100000,1,0.060999,0.000119,0.062313,99983,0,18
d,100000,2,0.057249,0.000123,0.05804,99983,0,18
d,100000,3,0.051595,0.000145,0.05204,99983,0,18
d,100000,4,0.055056,0.000165,0.07411,99983,0,18
d,1000000,0,0.551577,0.000425,0.634119,999980,0,22
d,1000000,1,0.568442,0.000367,0.672200,999980,0,22
d,1000000,2,0.570018,0.000212,0.592113,999980,0,22
d,1000000,3,0.554683,0.000295,0.609313,999980,0,22
d,1000000,4,0.569729,0.000016,0.769112,999980,0,22

