tipo, qtd, tempo_carregar, tempo_consultar, tempo_esvaziar, rot_carregar, rot_esvaziar, altura
a,1000,0.000225,0.000199,0.000155,0,0,1000
a,10000,0.003237,0.003090,0.000891,0,0,10000
a,100000,0.059917,0.021331,0.000813,0,0,100000
a,1000000,1.282689,1.028973,0.965123,0,0,1000000
c,1000,0.001509,0.000190,0.000912,0,0,1000
c,10000,0.209624,0.928987,0.005232,0,0,10000
c,100000,18.718849,4.020123,0.09732,0,0,100000
c,1000000,2267.389819,4.146332,0.598123,0,0,1000000
d,1000,0.001509,0.000654,0.000967,0,0,1000
d,10000,0.209624,0.927434,0.004123,0,0,10000
d,100000,18.718849,0.123783,0.091223,0,0,100000
d,1000000,2267.389819,3.987423,0.623423,0,0,1000000


