tipo, qtd, caso, tempo_carregar, tempo_consultar, tempo_esvaziar, rot_carregar, rot_esvaziar, altura
a,1000,0,0.000225,0.000199,0.000155,0,0,1000
a,1000,1,0.000402,0.000387,0.000278,0,0,1000
a,1000,2,0.000531,0.000487,0.000181,0,0,1000
a,1000,3,0.000307,0.000123,0.000193,0,0,1000
a,1000,4,0.000290,0.000223,0.000178,0,0,1000
a,10000,0,0.003237,0.003090,0.000891,0,0,10000
a,10000,1,0.002561,0.000977,0.000790,0,0,10000
a,10000,2,0.002839,0.001562,0.000856,0,0,10000
a,10000,3,0.002289,0.000673,0.000921,0,0,10000
a,10000,4,0.002745,0.000031,0.000912,0,0,10000
a,100000,0,0.059917,0.021331,0.000813,0,0,100000
a,100000,1,0.039878,0.134593,0.009512,0,0,100000
a,100000,2,0.038893,0.028831,0.009391,0,0,100000
a,100000,3,0.039133,0.036713,0.009451,0,0,100000
a,100000,4,0.041938,0.021234,0.009512,0,0,100000
a,1000000,0,1.282689,1.028973,0.965123,0,0,1000000
a,1000000,1,1.010885,0.038663,0.865899,0,0,1000000
a,1000000,2,0.965849,0.052398,0.756123,0,0,1000000
a,1000000,3,0.948015,0.100633,0.812390,0,0,1000000
a,1000000,4,0.951317,0.218123,0.967321,0,0,1000000
c,1000,0,0.001509,0.000190,0.000912,0,0,1000
c,1000,1,0.001670,0.000178,0.000998,0,0,1000
c,1000,2,0.001731,0.000087,0.000945,0,0,1000
c,1000,3,0.001695,0.000193,0.000754,0,0,1000
c,1000,4,0.002952,0.000124,0.000854,0,0,1000
c,10000,0,0.209624,0.928987,0.005232,0,0,10000
c,10000,1,0.149763,0.828900,0.004135,0,0,10000
c,10000,2,0.154584,0.923893,0.0051086,0,0,10000
c,10000,3,0.222246,0.920129,0.0049915,0,0,10000
c,10000,4,0.236942,0.977181,0.0043235,0,0,10000
c,100000,0,18.718849,4.020123,0.09732,0,0,100000
c,100000,1,18.444436,0.673891,0.034905,0,0,100000
c,100000,2,18.197825,0.089834,0.087432,0,0,100000
c,100000,3,17.302338,0.123893,0.097321,0,0,100000
c,100000,4,17.826252,0.897873,0.097391,0,0,100000
c,1000000,0,2267.389819,4.146332,0.598123,0,0,1000000
c,1000000,1,2226.994561,3.876341,0.690812,0,0,1000000
c,1000000,2,2115.995397,3.234548,0.512934,0,0,1000000
c,1000000,3,2321.008231,2.908743,0.649012,0,0,1000000
c,1000000,4,2120.091234,1.234566,0.690123,0,0,1000000
d,1000,0,0.001509,0.000654,0.000967,0,0,1000
d,1000,1,0.001670,0.000504,0.000908,0,0,1000
d,1000,2,0.001731,0.000124,0.000891,0,0,1000
d,1000,3,0.001695,0.000363,0.000812,0,0,1000
d,1000,4,0.002952,0.000412,0.000845,0,0,1000
d,10000,0,0.209624,0.927434,0.004123,0,0,10000
d,10000,1,0.149763,0.826549,0.005981,0,0,10000
d,10000,2,0.154584,0.936562,0.005981,0,0,10000
d,10000,3,0.222246,0.992354,0.004982,0,0,10000
d,10000,4,0.236942,0.839745,0.005123,0,0,10000
d,100000,0,18.718849,0.123783,0.091223,0,0,100000
d,100000,1,18.444436,0.234909,0.091234,0,0,100000
d,100000,2,18.197825,0.445624,0.081234,0,0,100000
d,100000,3,17.302338,0.967931,0.091234,0,0,100000
d,100000,4,17.826252,0.899834,0.091231,0,0,100000
d,1000000,0,2267.389819,3.987423,0.623423,0,0,1000000
d,1000000,1,2199.923113,3.234674,0.589723,0,0,1000000
d,1000000,2,2142.933897,2.235480,0.560234,0,0,1000000
d,1000000,3,2219.878231,2.123545,0.623123,0,0,1000000
d,1000000,4,2099.234988,3.834912,0.502390,0,0,1000000

